format	well	type	row	row.num	col	replicates	targets
384	374	1	F	6	24	2	2
384	373	1	E	5	24	1	2
384	372	1	D	4	24	2	2
384	371	1	C	3	24	1	2
384	370	1	B	2	24	2	2
384	369	1	A	1	24	1	2
384	368	4	P	16	23	2	1
384	367	4	O	15	23	1	1
384	366	3	N	14	23	2	1
384	365	3	M	13	23	1	1
384	364	2	L	12	23	2	1
384	363	2	K	11	23	1	1
384	362	2	J	10	23	2	1
384	361	2	I	9	23	1	1
384	360	1	H	8	23	2	1
384	359	1	G	7	23	1	1
384	358	1	F	6	23	2	1
384	357	1	E	5	23	1	1
384	356	1	D	4	23	2	1
384	355	1	C	3	23	1	1
384	354	1	B	2	23	2	1
384	353	1	A	1	23	1	1
384	352	1	P	16	22	2	2
384	351	1	O	15	22	1	2
384	350	1	N	14	22	2	2
384	349	1	M	13	22	1	2
384	348	1	L	12	22	2	2
384	347	1	K	11	22	1	2
384	346	1	J	10	22	2	2
384	345	1	I	9	22	1	2
384	344	1	H	8	22	2	2
384	343	1	G	7	22	1	2
384	342	1	F	6	22	2	2
384	341	1	E	5	22	1	2
384	340	1	D	4	22	2	2
384	339	1	C	3	22	1	2
384	338	1	B	2	22	2	2
384	337	1	A	1	22	1	2
384	336	1	P	16	21	2	1
384	335	1	O	15	21	1	1
384	334	1	N	14	21	2	1
384	333	1	M	13	21	1	1
384	332	1	L	12	21	2	1
384	331	1	K	11	21	1	1
384	330	1	J	10	21	2	1
384	329	1	I	9	21	1	1
384	328	1	H	8	21	2	1
384	327	1	G	7	21	1	1
384	326	1	F	6	21	2	1
384	325	1	E	5	21	1	1
384	324	1	D	4	21	2	1
384	323	1	C	3	21	1	1
384	322	1	B	2	21	2	1
384	321	1	A	1	21	1	1
384	320	1	P	16	20	2	2
384	319	1	O	15	20	1	2
384	318	1	N	14	20	2	2
384	317	1	M	13	20	1	2
384	316	1	L	12	20	2	2
384	315	1	K	11	20	1	2
384	314	1	J	10	20	2	2
384	313	1	I	9	20	1	2
384	312	1	H	8	20	2	2
384	311	1	G	7	20	1	2
384	310	1	F	6	20	2	2
384	309	1	E	5	20	1	2
384	308	1	D	4	20	2	2
384	307	1	C	3	20	1	2
384	306	1	B	2	20	2	2
384	305	1	A	1	20	1	2
384	304	1	P	16	19	2	1
384	303	1	O	15	19	1	1
384	302	1	N	14	19	2	1
384	301	1	M	13	19	1	1
384	300	1	L	12	19	2	1
384	299	1	K	11	19	1	1
384	298	1	J	10	19	2	1
384	297	1	I	9	19	1	1
384	296	1	H	8	19	2	1
384	295	1	G	7	19	1	1
384	294	1	F	6	19	2	1
384	293	1	E	5	19	1	1
384	292	1	D	4	19	2	1
384	291	1	C	3	19	1	1
384	290	1	B	2	19	2	1
384	289	1	A	1	19	1	1
384	288	1	P	16	18	2	2
384	287	1	O	15	18	1	2
384	286	1	N	14	18	2	2
384	285	1	M	13	18	1	2
384	284	1	L	12	18	2	2
384	283	1	K	11	18	1	2
384	282	1	J	10	18	2	2
384	281	1	I	9	18	1	2
384	280	1	H	8	18	2	2
384	279	1	G	7	18	1	2
384	278	1	F	6	18	2	2
384	277	1	E	5	18	1	2
384	276	1	D	4	18	2	2
384	275	1	C	3	18	1	2
384	274	1	B	2	18	2	2
384	273	1	A	1	18	1	2
384	272	1	P	16	17	2	1
384	271	1	O	15	17	1	1
384	270	1	N	14	17	2	1
384	269	1	M	13	17	1	1
384	268	1	L	12	17	2	1
384	267	1	K	11	17	1	1
384	266	1	J	10	17	2	1
384	265	1	I	9	17	1	1
384	264	1	H	8	17	2	1
384	263	1	G	7	17	1	1
384	262	1	F	6	17	2	1
384	261	1	E	5	17	1	1
384	260	1	D	4	17	2	1
384	259	1	C	3	17	1	1
384	258	1	B	2	17	2	1
384	257	1	A	1	17	1	1
384	256	1	P	16	16	2	2
384	255	1	O	15	16	1	2
384	254	1	N	14	16	2	2
384	253	1	M	13	16	1	2
384	252	1	L	12	16	2	2
384	251	1	K	11	16	1	2
384	250	1	J	10	16	2	2
384	249	1	I	9	16	1	2
